¸ñÍø±àºÅ,wkt×ø±ê
160,"MULTIPOLYGON (((422943.69714851433 4396540.4441694766, 423943.69714851433 4396540.4441694766, 423943.69714851433 4397540.4441694766, 422943.69714851433 4397540.4441694766, 422943.69714851433 4396540.4441694766)))"
161,"MULTIPOLYGON (((423943.69714851433 4396540.4441694766, 424943.69714851433 4396540.4441694766, 424943.69714851433 4397540.4441694766, 423943.69714851433 4397540.4441694766, 423943.69714851433 4396540.4441694766)))"
162,"MULTIPOLYGON (((424943.69714851433 4396540.4441694766, 425943.69714851433 4396540.4441694766, 425943.69714851433 4397540.4441694766, 424943.69714851433 4397540.4441694766, 424943.69714851433 4396540.4441694766)))"
163,"MULTIPOLYGON (((425943.69714851433 4396540.4441694766, 426943.69714851433 4396540.4441694766, 426943.69714851433 4397540.4441694766, 425943.69714851433 4397540.4441694766, 425943.69714851433 4396540.4441694766)))"
164,"MULTIPOLYGON (((426943.69714851433 4396540.4441694766, 427943.69714851433 4396540.4441694766, 427943.69714851433 4397540.4441694766, 426943.69714851433 4397540.4441694766, 426943.69714851433 4396540.4441694766)))"
165,"MULTIPOLYGON (((427943.69714851433 4396540.4441694766, 428943.69714851433 4396540.4441694766, 428943.69714851433 4397540.4441694766, 427943.69714851433 4397540.4441694766, 427943.69714851433 4396540.4441694766)))"
166,"MULTIPOLYGON (((428943.69714851433 4396540.4441694766, 429943.69714851433 4396540.4441694766, 429943.69714851433 4397540.4441694766, 428943.69714851433 4397540.4441694766, 428943.69714851433 4396540.4441694766)))"
167,"MULTIPOLYGON (((429943.69714851433 4396540.4441694766, 430943.69714851433 4396540.4441694766, 430943.69714851433 4397540.4441694766, 429943.69714851433 4397540.4441694766, 429943.69714851433 4396540.4441694766)))"
168,"MULTIPOLYGON (((430943.69714851433 4396540.4441694766, 431943.69714851433 4396540.4441694766, 431943.69714851433 4397540.4441694766, 430943.69714851433 4397540.4441694766, 430943.69714851433 4396540.4441694766)))"
169,"MULTIPOLYGON (((431943.69714851433 4396540.4441694766, 432943.69714851433 4396540.4441694766, 432943.69714851433 4397540.4441694766, 431943.69714851433 4397540.4441694766, 431943.69714851433 4396540.4441694766)))"
170,"MULTIPOLYGON (((432943.69714851433 4396540.4441694766, 433943.69714851433 4396540.4441694766, 433943.69714851433 4397540.4441694766, 432943.69714851433 4397540.4441694766, 432943.69714851433 4396540.4441694766)))"
171,"MULTIPOLYGON (((433943.69714851433 4396540.4441694766, 434943.69714851433 4396540.4441694766, 434943.69714851433 4397540.4441694766, 433943.69714851433 4397540.4441694766, 433943.69714851433 4396540.4441694766)))"
172,"MULTIPOLYGON (((434943.69714851433 4396540.4441694766, 435943.69714851433 4396540.4441694766, 435943.69714851433 4397540.4441694766, 434943.69714851433 4397540.4441694766, 434943.69714851433 4396540.4441694766)))"
173,"MULTIPOLYGON (((435943.69714851433 4396540.4441694766, 436943.69714851433 4396540.4441694766, 436943.69714851433 4397540.4441694766, 435943.69714851433 4397540.4441694766, 435943.69714851433 4396540.4441694766)))"
174,"MULTIPOLYGON (((436943.69714851433 4396540.4441694766, 437943.69714851433 4396540.4441694766, 437943.69714851433 4397540.4441694766, 436943.69714851433 4397540.4441694766, 436943.69714851433 4396540.4441694766)))"
175,"MULTIPOLYGON (((437943.69714851433 4396540.4441694766, 438943.69714851433 4396540.4441694766, 438943.69714851433 4397540.4441694766, 437943.69714851433 4397540.4441694766, 437943.69714851433 4396540.4441694766)))"
176,"MULTIPOLYGON (((438943.69714851433 4396540.4441694766, 439943.69714851433 4396540.4441694766, 439943.69714851433 4397540.4441694766, 438943.69714851433 4397540.4441694766, 438943.69714851433 4396540.4441694766)))"
177,"MULTIPOLYGON (((439943.69714851433 4396540.4441694766, 440943.69714851433 4396540.4441694766, 440943.69714851433 4397540.4441694766, 439943.69714851433 4397540.4441694766, 439943.69714851433 4396540.4441694766)))"
178,"MULTIPOLYGON (((440943.69714851433 4396540.4441694766, 441943.69714851433 4396540.4441694766, 441943.69714851433 4397540.4441694766, 440943.69714851433 4397540.4441694766, 440943.69714851433 4396540.4441694766)))"
179,"MULTIPOLYGON (((441943.69714851433 4396540.4441694766, 442943.69714851433 4396540.4441694766, 442943.69714851433 4397540.4441694766, 441943.69714851433 4397540.4441694766, 441943.69714851433 4396540.4441694766)))"
180,"MULTIPOLYGON (((442943.69714851433 4396540.4441694766, 443943.69714851433 4396540.4441694766, 443943.69714851433 4397540.4441694766, 442943.69714851433 4397540.4441694766, 442943.69714851433 4396540.4441694766)))"
181,"MULTIPOLYGON (((443943.69714851433 4396540.4441694766, 444943.69714851433 4396540.4441694766, 444943.69714851433 4397540.4441694766, 443943.69714851433 4397540.4441694766, 443943.69714851433 4396540.4441694766)))"
182,"MULTIPOLYGON (((444943.69714851433 4396540.4441694766, 445943.69714851433 4396540.4441694766, 445943.69714851433 4397540.4441694766, 444943.69714851433 4397540.4441694766, 444943.69714851433 4396540.4441694766)))"
183,"MULTIPOLYGON (((445943.69714851433 4396540.4441694766, 446943.69714851433 4396540.4441694766, 446943.69714851433 4397540.4441694766, 445943.69714851433 4397540.4441694766, 445943.69714851433 4396540.4441694766)))"
184,"MULTIPOLYGON (((446943.69714851433 4396540.4441694766, 447943.69714851433 4396540.4441694766, 447943.69714851433 4397540.4441694766, 446943.69714851433 4397540.4441694766, 446943.69714851433 4396540.4441694766)))"
185,"MULTIPOLYGON (((447943.69714851433 4396540.4441694766, 448943.69714851433 4396540.4441694766, 448943.69714851433 4397540.4441694766, 447943.69714851433 4397540.4441694766, 447943.69714851433 4396540.4441694766)))"
186,"MULTIPOLYGON (((448943.69714851433 4396540.4441694766, 449943.69714851433 4396540.4441694766, 449943.69714851433 4397540.4441694766, 448943.69714851433 4397540.4441694766, 448943.69714851433 4396540.4441694766)))"
187,"MULTIPOLYGON (((449943.69714851433 4396540.4441694766, 450943.69714851433 4396540.4441694766, 450943.69714851433 4397540.4441694766, 449943.69714851433 4397540.4441694766, 449943.69714851433 4396540.4441694766)))"
188,"MULTIPOLYGON (((450943.69714851433 4396540.4441694766, 451943.69714851433 4396540.4441694766, 451943.69714851433 4397540.4441694766, 450943.69714851433 4397540.4441694766, 450943.69714851433 4396540.4441694766)))"
212,"MULTIPOLYGON (((421943.69714851433 4397540.4441694766, 422943.69714851433 4397540.4441694766, 422943.69714851433 4398540.4441694766, 421943.69714851433 4398540.4441694766, 421943.69714851433 4397540.4441694766)))"
213,"MULTIPOLYGON (((422943.69714851433 4397540.4441694766, 423943.69714851433 4397540.4441694766, 423943.69714851433 4398540.4441694766, 422943.69714851433 4398540.4441694766, 422943.69714851433 4397540.4441694766)))"
214,"MULTIPOLYGON (((423943.69714851433 4397540.4441694766, 424943.69714851433 4397540.4441694766, 424943.69714851433 4398540.4441694766, 423943.69714851433 4398540.4441694766, 423943.69714851433 4397540.4441694766)))"
215,"MULTIPOLYGON (((424943.69714851433 4397540.4441694766, 425943.69714851433 4397540.4441694766, 425943.69714851433 4398540.4441694766, 424943.69714851433 4398540.4441694766, 424943.69714851433 4397540.4441694766)))"
